dataset,erlang_k,rho,horizon,model,test_run_id,MAE,RMSE,n_test,MAE_std,relative_improvement_over_persistence,n_test_runs
history_only,2,0.7,long,Naive (persistence),28,1.5628130635143258,2.423834762296897,19964.0,,,
history_only,2,0.7,long,Linear Regression,28,1.380603600911489,1.9115007878865082,19964.0,,,
history_only,2,0.7,long,Decision Tree,28,1.3701927884602194,1.903238760124983,19964.0,,,
history_only,2,0.7,long,Random Forest,28,1.3700832846382545,1.9017206929448933,19964.0,,,
history_only,2,0.7,long,Naive (persistence),29,1.6159703436529407,2.4856264489667845,19962.0,,,
history_only,2,0.7,long,Linear Regression,29,1.370518344603982,1.8789399100406958,19962.0,,,
history_only,2,0.7,long,Decision Tree,29,1.3596270382368614,1.8823685815528146,19962.0,,,
history_only,2,0.7,long,Random Forest,29,1.3591294047017812,1.880000123130787,19962.0,,,
history_only,2,0.7,long,Linear Regression,ALL_MEAN,1.3654946924376254,,,0.02871296622854129,0.13545050533988856,5.0
history_only,2,0.7,long,Decision Tree,ALL_MEAN,1.3531398918596287,,,0.02793360362940371,0.14327282545251063,5.0
history_only,2,0.7,long,Random Forest,ALL_MEAN,1.3526333913747426,,,0.027982745914201804,0.14359351123816655,5.0
history_only,2,0.7,long,Naive (persistence),ALL_MEAN,1.579429171923182,,,0.04975205015737751,0.0,5.0
history_only,2,0.7,extra_long,Naive (persistence),25,1.4814165497896212,2.280287147939642,19964.0,,,
history_only,2,0.7,extra_long,Linear Regression,25,1.3501121670705305,1.845378850285658,19964.0,,,
history_only,2,0.7,extra_long,Decision Tree,25,1.3246267050842564,1.8340117158909848,19964.0,,,
history_only,2,0.7,extra_long,Random Forest,25,1.3244375760824014,1.8334886619471231,19964.0,,,
history_only,2,0.7,extra_long,Naive (persistence),26,1.5361439743332665,2.3607074454645978,19948.0,,,
history_only,2,0.7,extra_long,Linear Regression,26,1.3660519659401924,1.8881361708388817,19948.0,,,
history_only,2,0.7,extra_long,Decision Tree,26,1.3392058902840134,1.8760491376711805,19948.0,,,
history_only,2,0.7,extra_long,Random Forest,26,1.3390013232534794,1.875047083811397,19948.0,,,
