dataset,erlang_k,rho,horizon,model,test_run_id,accuracy,precision_congested,recall_congested,f1_congested,n_test,congestion_rate,accuracy_std,precision_congested_std,recall_congested_std,f1_congested_std,n_test_runs
history_only,2,0.3,extra_long,Random Forest,28,0.9238597416293172,0.0,0.0,0.0,18965.0,0.07614025837068283,,,,,
history_only,2,0.3,extra_long,Naive (always 'not congested'),29,0.9252257929006511,0.0,0.0,0.0,19044.0,0.07477420709934887,,,,,
history_only,2,0.3,extra_long,Naive (persistence),29,0.8609010712035287,0.08019191226867718,0.08216292134831461,0.08116545265348596,19044.0,0.07477420709934887,,,,,
history_only,2,0.3,extra_long,Logistic Regression,29,0.9252257929006511,0.0,0.0,0.0,19044.0,0.07477420709934887,,,,,
history_only,2,0.3,extra_long,Random Forest,29,0.9252257929006511,0.0,0.0,0.0,19044.0,0.07477420709934887,,,,,
history_only,2,0.3,extra_long,Naive (always 'not congested'),ALL_MEAN,0.9252500216317951,0.0,0.0,0.0,,0.07474997836820481,0.0056856193739737845,0.0,0.0,0.0,5.0
history_only,2,0.3,extra_long,Naive (persistence),ALL_MEAN,0.8609671401190104,0.0743003488077422,0.07510841132129709,0.0747009471362469,,0.07474997836820481,0.010054015188763565,0.0036018392756364103,0.003958557283235397,0.0037673502049608123,5.0
history_only,2,0.3,extra_long,Logistic Regression,ALL_MEAN,0.9252500216317951,0.0,0.0,0.0,,0.07474997836820481,0.0056856193739737845,0.0,0.0,0.0,5.0
history_only,2,0.3,extra_long,Random Forest,ALL_MEAN,0.9252500216317951,0.0,0.0,0.0,,0.07474997836820481,0.0056856193739737845,0.0,0.0,0.0,5.0
history_only,2,0.5,short,Naive (always 'not congested'),25,0.9036611774185426,0.0,0.0,0.0,19857.0,0.09633882258145741,,,,,
history_only,2,0.5,short,Naive (persistence),25,0.8623155562270232,0.2847404299947562,0.2838473601672765,0.28429319371727746,19857.0,0.09633882258145741,,,,,
history_only,2,0.5,short,Logistic Regression,25,0.9058266606234577,0.6666666666666666,0.04495556717198118,0.0842311459353575,19857.0,0.09633882258145741,,,,,
history_only,2,0.5,short,Random Forest,25,0.905675580399859,0.6428571428571429,0.04704652378463147,0.08767657087189479,19857.0,0.09633882258145741,,,,,
history_only,2,0.5,short,Naive (always 'not congested'),26,0.9110528438886648,0.0,0.0,0.0,19832.0,0.08894715611133522,,,,,
history_only,2,0.5,short,Naive (persistence),26,0.8673860427591771,0.2542565266742338,0.25396825396825395,0.2541123085649461,19832.0,0.08894715611133522,,,,,
history_only,2,0.5,short,Logistic Regression,26,0.9132714804356595,0.6774193548387096,0.047619047619047616,0.08898305084745763,19832.0,0.08894715611133522,,,,,
history_only,2,0.5,short,Random Forest,26,0.913775716014522,0.717741935483871,0.05045351473922902,0.09427966101694915,19832.0,0.08894715611133522,,,,,
history_only,2,0.5,short,Naive (always 'not congested'),27,0.9161209068010076,0.0,0.0,0.0,19850.0,0.08387909319899245,,,,,
history_only,2,0.5,short,Naive (persistence),27,0.8758690176322418,0.26034793041391724,0.2606606606606607,0.2605042016806723,19850.0,0.08387909319899245,,,,,
history_only,2,0.5,short,Logistic Regression,27,0.9174811083123425,0.6391752577319587,0.037237237237237236,0.07037457434733257,19850.0,0.08387909319899245,,,,,
history_only,2,0.5,short,Random Forest,27,0.9173299748110831,0.6304347826086957,0.034834834834834835,0.06602162777461583,19850.0,0.08387909319899245,,,,,
history_only,2,0.5,short,Naive (always 'not congested'),28,0.8978554168344745,0.0,0.0,0.0,19864.0,0.10214458316552558,,,,,
history_only,2,0.5,short,Naive (persistence),28,0.8630185259766412,0.3297244094488189,0.3302119270576639,0.3299679881802512,19864.0,0.10214458316552558,,,,,
history_only,2,0.5,short,Logistic Regression,28,0.9033930728956907,0.7696078431372549,0.07737801872843765,0.1406180026869682,19864.0,0.10214458316552558,,,,,
history_only,2,0.5,short,Random Forest,28,0.9034937575513492,0.7828282828282829,0.0763923114834894,0.13920071845532106,19864.0,0.10214458316552558,,,,,
history_only,2,0.5,short,Naive (always 'not congested'),29,0.9094155517553566,0.0,0.0,0.0,19882.0,0.0905844482446434,,,,,
history_only,2,0.5,short,Naive (persistence),29,0.8683231063273312,0.27292940522512504,0.27262631871182674,0.2727777777777778,19882.0,0.0905844482446434,,,,,
history_only,2,0.5,short,Logistic Regression,29,0.911175938034403,0.6635514018691588,0.039422543031649084,0.07442348008385745,19882.0,0.0905844482446434,,,,,
history_only,2,0.5,short,Random Forest,29,0.9114274217885524,0.6851851851851852,0.041088284286507494,0.07752750130958617,19882.0,0.0905844482446434,,,,,
history_only,2,0.5,short,Naive (always 'not congested'),ALL_MEAN,0.9076211793396091,0.0,0.0,0.0,,0.0923788206603908,0.006297510514214908,0.0,0.0,0.0,5.0
